,Src,Dst,Prob,Src Cell,Dst Cell
1030741,SKAP1,CD7,0.8971389,vSMCs,Myeloid
1112713,PNCK,CD7,0.8883461,Endothelial,Myeloid
3775285,PIN4,CD7,0.8813117,Mast,Myeloid
3749874,CEP152,HDAC1,0.87207186,Myeloid,vSMCs
4400701,MSX2,CD7,0.87180364,Fibroblast,Myeloid
3749693,CEP152,RNF20,0.8667178,Myeloid,Mast
4385521,CBY1,CD7,0.8660141,Lymphoid,Myeloid
2773405,CINP,CD7,0.86599773,Neuronal,Myeloid
3751568,CEP152,OSTF1,0.8642192,Myeloid,Fibroblast
329425,PAN3,CD7,0.8630284,Pericyte,Myeloid
3751428,CEP152,CXADR,0.8610122,Myeloid,Cardiomyocyte
1029437,SKAP1,RNF20,0.86090004,vSMCs,Mast
1031312,SKAP1,OSTF1,0.8585018,vSMCs,Fibroblast
1111590,PNCK,HDAC1,0.85764736,Endothelial,vSMCs
1031172,SKAP1,CXADR,0.85547733,vSMCs,Cardiomyocyte
3750157,CEP152,MPZ,0.854466,Myeloid,Neuronal
3750812,CEP152,CDON,0.85317874,Myeloid,Pericyte
1111409,PNCK,RNF20,0.85237485,Endothelial,Mast
3774162,PIN4,HDAC1,0.85115826,Mast,vSMCs
1113284,PNCK,OSTF1,0.84992534,Endothelial,Fibroblast
1029901,SKAP1,MPZ,0.84895635,vSMCs,Neuronal
3751559,CEP152,PRKCB,0.8482244,Myeloid,Lymphoid
1030556,SKAP1,CDON,0.8476855,vSMCs,Pericyte
1113144,PNCK,CXADR,0.8467863,Endothelial,Cardiomyocyte
3775856,PIN4,OSTF1,0.8435081,Mast,Fibroblast
1031303,SKAP1,PRKCB,0.84259915,vSMCs,Lymphoid
4399578,MSX2,HDAC1,0.84248483,Fibroblast,vSMCs
3775716,PIN4,CXADR,0.8406719,Mast,Cardiomyocyte
1111873,PNCK,MPZ,0.84034675,Endothelial,Neuronal
1112528,PNCK,CDON,0.83908147,Endothelial,Pericyte
4399397,MSX2,RNF20,0.83695394,Fibroblast,Mast
2772282,CINP,HDAC1,0.8368018,Neuronal,vSMCs
4384398,CBY1,HDAC1,0.83633506,Lymphoid,vSMCs
3774445,PIN4,MPZ,0.8342496,Mast,Neuronal
1113275,PNCK,PRKCB,0.83419377,Endothelial,Lymphoid
328302,PAN3,HDAC1,0.8339605,Pericyte,vSMCs
3775100,PIN4,CDON,0.8330077,Mast,Pericyte
4401132,MSX2,CXADR,0.83259803,Fibroblast,Cardiomyocyte
2772101,CINP,RNF20,0.83133966,Neuronal,Mast
4384217,CBY1,RNF20,0.83108574,Lymphoid,Mast
2773976,CINP,OSTF1,0.8293001,Neuronal,Fibroblast
4386092,CBY1,OSTF1,0.82881606,Lymphoid,Fibroblast
328121,PAN3,RNF20,0.82850474,Pericyte,Mast
3775847,PIN4,PRKCB,0.8278718,Mast,Lymphoid
2773836,CINP,CXADR,0.8269118,Neuronal,Cardiomyocyte
329996,PAN3,OSTF1,0.8264855,Pericyte,Fibroblast
4399861,MSX2,MPZ,0.8261883,Fibroblast,Neuronal
4385952,CBY1,CXADR,0.82598394,Lymphoid,Cardiomyocyte
4400516,MSX2,CDON,0.8249822,Fibroblast,Pericyte
329856,PAN3,CXADR,0.82413095,Pericyte,Cardiomyocyte
4384681,CBY1,MPZ,0.8196786,Lymphoid,Neuronal
4401263,MSX2,PRKCB,0.8194182,Fibroblast,Lymphoid
2773220,CINP,CDON,0.81935155,Neuronal,Pericyte
4385336,CBY1,CDON,0.81845605,Lymphoid,Pericyte
328585,PAN3,MPZ,0.8177907,Pericyte,Neuronal
2773967,CINP,PRKCB,0.81389326,Neuronal,Lymphoid
329987,PAN3,PRKCB,0.81112874,Pericyte,Lymphoid
