,Src,Dst,Prob,Src Cell,Dst Cell
3456298,TNFRSF11A,FHIT,1.0396008,Myeloid,vSMCs
9124510,LRP5,FHIT,1.038218,Mast,vSMCs
3890446,APOO,FHIT,1.0378377,Cardiomyocyte,vSMCs
3456285,TNFRSF11A,FGF9,1.0367193,Myeloid,Cardiomyocyte
9124497,LRP5,FGF9,1.0353743,Mast,Cardiomyocyte
7475962,RNF40,FHIT,1.0352306,Neuronal,vSMCs
9124937,LRP5,FBXL12,1.0351235,Mast,Myeloid
3890873,APOO,FBXL12,1.0347719,Cardiomyocyte,Myeloid
3456883,TNFRSF11A,BTN3A2,1.0341834,Myeloid,Endothelial
6738214,HHAT,FHIT,1.0335547,Endothelial,vSMCs
3457788,TNFRSF11A,NFKB2,1.0331671,Myeloid,Mast
3455382,TNFRSF11A,GSN,1.0329956,Myeloid,Pericyte
9125095,LRP5,BTN3A2,1.0328915,Mast,Endothelial
3455591,TNFRSF11A,STRN4,1.032628,Myeloid,Lymphoid
3891031,APOO,BTN3A2,1.0325477,Cardiomyocyte,Endothelial
7673302,PCBP2,FHIT,1.0324733,Pericyte,vSMCs
7475949,RNF40,FGF9,1.0323907,Neuronal,Cardiomyocyte
9935122,STUB1,FHIT,1.0323629,Lymphoid,vSMCs
7476389,RNF40,FBXL12,1.0321364,Neuronal,Myeloid
9123594,LRP5,GSN,1.0316678,Mast,Pericyte
2087062,CEP152,FHIT,1.0316132,Fibroblast,vSMCs
3891936,APOO,NFKB2,1.0315472,Cardiomyocyte,Mast
9123803,LRP5,STRN4,1.0313197,Mast,Lymphoid
3889530,APOO,GSN,1.0313091,Cardiomyocyte,Pericyte
3889739,APOO,STRN4,1.0309689,Cardiomyocyte,Lymphoid
6738201,HHAT,FGF9,1.0307428,Endothelial,Cardiomyocyte
6738641,HHAT,FBXL12,1.0305115,Endothelial,Myeloid
3457102,TNFRSF11A,CTHRC1,1.0304228,Myeloid,Neuronal
1139817,RABEPK,FGF9,1.030226,vSMCs,Cardiomyocyte
1140257,RABEPK,FBXL12,1.0299821,vSMCs,Myeloid
7476547,RNF40,BTN3A2,1.0299087,Neuronal,Endothelial
7673289,PCBP2,FGF9,1.0296454,Pericyte,Cardiomyocyte
9935109,STUB1,FGF9,1.0296061,Lymphoid,Cardiomyocyte
8724185,DRAP1,FBXL12,1.0294476,Pericyte,Myeloid
9935549,STUB1,FBXL12,1.029425,Lymphoid,Myeloid
9125314,LRP5,CTHRC1,1.0291225,Mast,Neuronal
7477452,RNF40,NFKB2,1.0289053,Neuronal,Mast
3457089,TNFRSF11A,PTGIR,1.0288479,Myeloid,Fibroblast
2087049,CEP152,FGF9,1.0288333,Fibroblast,Cardiomyocyte
3891250,APOO,CTHRC1,1.0287747,Cardiomyocyte,Neuronal
7475046,RNF40,GSN,1.0286934,Neuronal,Pericyte
2087489,CEP152,FBXL12,1.0286281,Fibroblast,Myeloid
7475255,RNF40,STRN4,1.0283438,Neuronal,Lymphoid
1140415,RABEPK,BTN3A2,1.0277641,vSMCs,Endothelial
9125301,LRP5,PTGIR,1.02755,Mast,Fibroblast
6739704,HHAT,NFKB2,1.0273039,Endothelial,Mast
8724343,DRAP1,BTN3A2,1.0272621,Pericyte,Endothelial
9935707,STUB1,BTN3A2,1.0272413,Lymphoid,Endothelial
3891237,APOO,PTGIR,1.0272028,Cardiomyocyte,Fibroblast
6737298,HHAT,GSN,1.02706,Endothelial,Pericyte
1141320,RABEPK,NFKB2,1.0267657,vSMCs,Mast
6737507,HHAT,STRN4,1.026724,Endothelial,Lymphoid
1138914,RABEPK,GSN,1.0265402,vSMCs,Pericyte
2087647,CEP152,BTN3A2,1.0264332,Fibroblast,Endothelial
8725248,DRAP1,NFKB2,1.0262821,Pericyte,Mast
9936612,STUB1,NFKB2,1.0262624,Lymphoid,Mast
1139123,RABEPK,STRN4,1.026197,vSMCs,Lymphoid
9934206,STUB1,GSN,1.0259466,Lymphoid,Pericyte
8723051,DRAP1,STRN4,1.0256623,Pericyte,Lymphoid
2088552,CEP152,NFKB2,1.0254477,Fibroblast,Mast
2086146,CEP152,GSN,1.0251672,Fibroblast,Pericyte
2086355,CEP152,STRN4,1.0248466,Fibroblast,Lymphoid
7476753,RNF40,PTGIR,1.0245843,Neuronal,Fibroblast
6739018,HHAT,CTHRC1,1.0245395,Endothelial,Neuronal
1140634,RABEPK,CTHRC1,1.0240116,vSMCs,Neuronal
8724562,DRAP1,CTHRC1,1.0234878,Pericyte,Neuronal
9935926,STUB1,CTHRC1,1.0234658,Lymphoid,Neuronal
6739005,HHAT,PTGIR,1.0229743,Endothelial,Fibroblast
2087866,CEP152,CTHRC1,1.0226704,Fibroblast,Neuronal
1140621,RABEPK,PTGIR,1.022447,vSMCs,Fibroblast
8724549,DRAP1,PTGIR,1.0219245,Pericyte,Fibroblast
9935913,STUB1,PTGIR,1.0219026,Lymphoid,Fibroblast
