,Src,Dst,Prob,Src Cell,Dst Cell
3245593,ITK,SIK2,1.644893,Myeloid,vSMCs
3247973,ITK,ARHGEF6,1.6402575,Myeloid,Cardiomyocyte
6082674,SLPI,SLAMF6,1.6373059,Fibroblast,Myeloid
6081217,SLPI,SIK2,1.634188,Fibroblast,vSMCs
6083597,SLPI,ARHGEF6,1.6276003,Fibroblast,Cardiomyocyte
11073858,CAPRIN2,SLAMF6,1.6199394,Pericyte,Myeloid
3245878,ITK,ETS1,1.619927,Myeloid,Lymphoid
1085418,INHBA,SLAMF6,1.6182185,Lymphoid,Myeloid
11072401,CAPRIN2,SIK2,1.616003,Pericyte,vSMCs
2296782,TIMELESS,SLAMF6,1.6158222,Mast,Myeloid
1083961,INHBA,SIK2,1.6145476,Lymphoid,vSMCs
11074781,CAPRIN2,ARHGEF6,1.6118923,Pericyte,Cardiomyocyte
2295325,TIMELESS,SIK2,1.6118897,Mast,vSMCs
1086341,INHBA,ARHGEF6,1.6097028,Lymphoid,Cardiomyocyte
3246609,ITK,TBC1D15,1.6086178,Myeloid,Neuronal
6081502,SLPI,ETS1,1.6082327,Fibroblast,Lymphoid
2297705,TIMELESS,ARHGEF6,1.6078066,Mast,Cardiomyocyte
3247052,ITK,CDC73,1.6067978,Myeloid,Mast
8478078,HIC1,SLAMF6,1.6063752,Neuronal,Myeloid
3019350,MUL1,SLAMF6,1.6058258,Endothelial,Myeloid
563226,OTUD7A,SLAMF6,1.6050154,vSMCs,Myeloid
8476621,HIC1,SIK2,1.6024158,Neuronal,vSMCs
3017893,MUL1,SIK2,1.601998,Endothelial,vSMCs
3246987,ITK,BCL10,1.5989939,Myeloid,Pericyte
8479001,HIC1,ARHGEF6,1.5984979,Neuronal,Cardiomyocyte
3020273,MUL1,ARHGEF6,1.5977132,Endothelial,Cardiomyocyte
564149,OTUD7A,ARHGEF6,1.5969687,vSMCs,Cardiomyocyte
6082233,SLPI,TBC1D15,1.5961854,Fibroblast,Neuronal
6082676,SLPI,CDC73,1.5935073,Fibroblast,Mast
4667898,CBX4,SLAMF6,1.5931789,Cardiomyocyte,Myeloid
11072686,CAPRIN2,ETS1,1.5917332,Pericyte,Lymphoid
4666441,CBX4,SIK2,1.5890415,Cardiomyocyte,vSMCs
2295610,TIMELESS,ETS1,1.5876915,Mast,Lymphoid
6082611,SLPI,BCL10,1.586492,Fibroblast,Pericyte
3247260,ITK,MAPK1,1.5831167,Myeloid,Endothelial
11075325,CAPRIN2,TRIM3,1.5808171,Pericyte,Neuronal
11073860,CAPRIN2,CDC73,1.5792109,Pericyte,Mast
1084977,INHBA,TBC1D15,1.5786496,Lymphoid,Neuronal
8476906,HIC1,ETS1,1.578442,Neuronal,Lymphoid
3018178,MUL1,ETS1,1.5778166,Endothelial,Lymphoid
562054,OTUD7A,ETS1,1.5770425,vSMCs,Lymphoid
2298249,TIMELESS,TRIM3,1.5768144,Mast,Neuronal
1085420,INHBA,CDC73,1.576734,Lymphoid,Mast
6082884,SLPI,MAPK1,1.5701388,Fibroblast,Endothelial
1085355,INHBA,BCL10,1.5691837,Lymphoid,Pericyte
2296719,TIMELESS,BCL10,1.5673971,Mast,Pericyte
3018909,MUL1,TBC1D15,1.5668964,Endothelial,Neuronal
562785,OTUD7A,TBC1D15,1.5661671,vSMCs,Neuronal
8478080,HIC1,CDC73,1.566159,Neuronal,Mast
4666726,CBX4,ETS1,1.565613,Cardiomyocyte,Lymphoid
3019352,MUL1,CDC73,1.5652249,Endothelial,Mast
563228,OTUD7A,CDC73,1.5645384,vSMCs,Mast
8478015,HIC1,BCL10,1.5583341,Neuronal,Pericyte
3019287,MUL1,BCL10,1.5575389,Endothelial,Pericyte
563163,OTUD7A,BCL10,1.5568209,vSMCs,Pericyte
11074068,CAPRIN2,MAPK1,1.5559101,Pericyte,Endothelial
4669365,CBX4,TRIM3,1.5553718,Cardiomyocyte,Neuronal
4667900,CBX4,CDC73,1.5539368,Cardiomyocyte,Mast
1085628,INHBA,MAPK1,1.5535132,Lymphoid,Endothelial
2296992,TIMELESS,MAPK1,1.5519726,Mast,Endothelial
4667835,CBX4,BCL10,1.5459559,Cardiomyocyte,Pericyte
8478288,HIC1,MAPK1,1.5430416,Neuronal,Endothelial
563436,OTUD7A,MAPK1,1.5414609,vSMCs,Endothelial
4668108,CBX4,MAPK1,1.5309647,Cardiomyocyte,Endothelial
3246273,ITK,STX1A,1.5191524,Myeloid,Fibroblast
11073081,CAPRIN2,STX1A,1.4930905,Pericyte,Fibroblast
1084641,INHBA,STX1A,1.4907149,Lymphoid,Fibroblast
2296005,TIMELESS,STX1A,1.4893137,Mast,Fibroblast
8477301,HIC1,STX1A,1.4807577,Neuronal,Fibroblast
3018573,MUL1,STX1A,1.4798577,Endothelial,Fibroblast
562449,OTUD7A,STX1A,1.479213,vSMCs,Fibroblast
4667121,CBX4,STX1A,1.4692291,Cardiomyocyte,Fibroblast
