,Src,Dst,Prob,Src Cell,Dst Cell
618495,PELP1,PPP1R1B,0.9941589,Mast,Fibroblast
618979,PELP1,FANCI,0.99024105,Mast,vSMCs
360435,PIK3R4,PPP1R1B,0.9896279,vSMCs,Fibroblast
1714491,DCAF1,PPP1R1B,0.98447055,Cardiomyocyte,Fibroblast
1714975,DCAF1,FANCI,0.9805274,Cardiomyocyte,vSMCs
617761,PELP1,PARD6A,0.98021656,Mast,Endothelial
5166423,ITK,PPP1R1B,0.9778001,Endothelial,Fibroblast
359701,PIK3R4,PARD6A,0.97573245,vSMCs,Endothelial
5166907,ITK,FANCI,0.9737986,Endothelial,vSMCs
5540335,SHC3,FANCI,0.97135955,Fibroblast,vSMCs
1713757,DCAF1,PARD6A,0.97046494,Cardiomyocyte,Endothelial
5539117,SHC3,PARD6A,0.9612346,Fibroblast,Endothelial
616773,PELP1,FPR1,0.95998406,Mast,Pericyte
5190711,JAM2,PPP1R1B,0.9598827,Pericyte,Fibroblast
9401643,SLITRK6,PPP1R1B,0.95823604,Neuronal,Fibroblast
5002479,HNRNPH1,PPP1R1B,0.9581706,Lymphoid,Fibroblast
361185,PIK3R4,MLH1,0.9565742,vSMCs,Mast
5191195,JAM2,FANCI,0.95592594,Pericyte,vSMCs
358713,PIK3R4,FPR1,0.95560616,vSMCs,Pericyte
9402127,SLITRK6,FANCI,0.9543222,Neuronal,vSMCs
5002963,HNRNPH1,FANCI,0.95424145,Lymphoid,vSMCs
618607,PELP1,BRSK1,0.95170456,Mast,Cardiomyocyte
618473,PELP1,IL12RB1,0.95164585,Mast,Myeloid
1715241,DCAF1,MLH1,0.95156294,Cardiomyocyte,Mast
1712769,DCAF1,FPR1,0.95059794,Cardiomyocyte,Pericyte
618306,PELP1,TOMM70,0.94753945,Mast,Neuronal
360547,PIK3R4,BRSK1,0.947373,vSMCs,Cardiomyocyte
360413,PIK3R4,IL12RB1,0.9473148,vSMCs,Myeloid
5189977,JAM2,PARD6A,0.9458753,Pericyte,Endothelial
5167173,ITK,MLH1,0.9450771,Endothelial,Mast
9400909,SLITRK6,PARD6A,0.9443661,Neuronal,Endothelial
5001745,HNRNPH1,PARD6A,0.94425243,Lymphoid,Endothelial
5164701,ITK,FPR1,0.94411564,Endothelial,Pericyte
360246,PIK3R4,TOMM70,0.9432183,vSMCs,Neuronal
5540601,SHC3,MLH1,0.94270384,Fibroblast,Mast
1714469,DCAF1,IL12RB1,0.94244635,Cardiomyocyte,Myeloid
5538129,SHC3,FPR1,0.9417452,Fibroblast,Pericyte
1714302,DCAF1,TOMM70,0.93827516,Cardiomyocyte,Neuronal
5166535,ITK,BRSK1,0.9362117,Endothelial,Cardiomyocyte
5166401,ITK,IL12RB1,0.9361604,Endothelial,Myeloid
5539963,SHC3,BRSK1,0.93384194,Fibroblast,Cardiomyocyte
5539829,SHC3,IL12RB1,0.93379027,Fibroblast,Myeloid
5166234,ITK,TOMM70,0.93187714,Endothelial,Neuronal
5539662,SHC3,TOMM70,0.92953736,Fibroblast,Neuronal
5191461,JAM2,MLH1,0.92774653,Pericyte,Mast
9402393,SLITRK6,MLH1,0.92617124,Neuronal,Mast
5003229,HNRNPH1,MLH1,0.92610097,Lymphoid,Mast
9399921,SLITRK6,FPR1,0.9252293,Neuronal,Pericyte
5000757,HNRNPH1,FPR1,0.92515856,Lymphoid,Pericyte
618372,PELP1,SIRT1,0.92090744,Mast,Lymphoid
5190823,JAM2,BRSK1,0.9190888,Pericyte,Cardiomyocyte
5190689,JAM2,IL12RB1,0.91903967,Pericyte,Myeloid
9401755,SLITRK6,BRSK1,0.91747123,Neuronal,Cardiomyocyte
5002591,HNRNPH1,BRSK1,0.9174263,Lymphoid,Cardiomyocyte
9401621,SLITRK6,IL12RB1,0.9174206,Neuronal,Myeloid
5002457,HNRNPH1,IL12RB1,0.9173764,Lymphoid,Myeloid
360312,PIK3R4,SIRT1,0.91669697,vSMCs,Lymphoid
5190522,JAM2,TOMM70,0.91478765,Pericyte,Neuronal
5002290,HNRNPH1,TOMM70,0.91316575,Lymphoid,Neuronal
1714368,DCAF1,SIRT1,0.911774,Cardiomyocyte,Lymphoid
5166300,ITK,SIRT1,0.9053831,Endothelial,Lymphoid
5539728,SHC3,SIRT1,0.90313417,Fibroblast,Lymphoid
5190588,JAM2,SIRT1,0.88872105,Pericyte,Lymphoid
9401520,SLITRK6,SIRT1,0.887287,Neuronal,Lymphoid
