,Src,Dst,Prob,Src Cell,Dst Cell
1920803,GPR132,RAB3IP,1.0728816,vSMCs,Fibroblast
1919375,GPR132,PPP2R2C,1.069801,vSMCs,Cardiomyocyte
1918992,GPR132,SERPINA1,1.0677688,vSMCs,Mast
3948851,C1RL,RAB3IP,1.0673927,Myeloid,Fibroblast
3948154,C1RL,FBXO32,1.0664179,Myeloid,vSMCs
3947423,C1RL,PPP2R2C,1.0643005,Myeloid,Cardiomyocyte
9941915,PNCK,RAB3IP,1.0634893,Cardiomyocyte,Fibroblast
1919008,GPR132,PSMA7,1.0634631,vSMCs,Pericyte
9941218,PNCK,FBXO32,1.0625147,Cardiomyocyte,vSMCs
3947040,C1RL,SERPINA1,1.0624584,Myeloid,Mast
1919487,GPR132,DAAM1,1.0622147,vSMCs,Neuronal
1918887,GPR132,AKAP5,1.0603648,vSMCs,Endothelial
11040947,EDA2R,RAB3IP,1.0602326,Endothelial,Fibroblast
11040250,EDA2R,FBXO32,1.0592136,Endothelial,vSMCs
1919894,GPR132,LILRB1,1.0586554,vSMCs,Myeloid
9940104,PNCK,SERPINA1,1.0585672,Cardiomyocyte,Mast
3947056,C1RL,PSMA7,1.0582995,Myeloid,Pericyte
11039519,EDA2R,PPP2R2C,1.0571768,Endothelial,Cardiomyocyte
3947535,C1RL,DAAM1,1.0570501,Myeloid,Neuronal
1919509,GPR132,TAOK3,1.0568312,vSMCs,Lymphoid
11039136,EDA2R,SERPINA1,1.0552442,Endothelial,Mast
3946935,C1RL,AKAP5,1.0550451,Myeloid,Endothelial
9940120,PNCK,PSMA7,1.0544188,Cardiomyocyte,Pericyte
9940599,PNCK,DAAM1,1.0531741,Cardiomyocyte,Neuronal
11147207,ADAM9,RAB3IP,1.0519762,Mast,Fibroblast
3947557,C1RL,TAOK3,1.051634,Myeloid,Lymphoid
9939999,PNCK,AKAP5,1.0511827,Cardiomyocyte,Endothelial
11039152,EDA2R,PSMA7,1.0510418,Endothelial,Pericyte
11146510,ADAM9,FBXO32,1.0510277,Mast,vSMCs
11039631,EDA2R,DAAM1,1.0498049,Endothelial,Neuronal
9941006,PNCK,LILRB1,1.049597,Cardiomyocyte,Myeloid
11145779,ADAM9,PPP2R2C,1.0489248,Mast,Cardiomyocyte
8405699,ICOSLG,RAB3IP,1.047863,Pericyte,Fibroblast
9940621,PNCK,TAOK3,1.04778,Cardiomyocyte,Lymphoid
8405002,ICOSLG,FBXO32,1.0469123,Pericyte,vSMCs
11040038,EDA2R,LILRB1,1.0462661,Endothelial,Myeloid
1589879,IL7R,RAB3IP,1.0449253,Lymphoid,Fibroblast
8404271,ICOSLG,PPP2R2C,1.0448254,Pericyte,Cardiomyocyte
11039653,EDA2R,TAOK3,1.0444596,Endothelial,Lymphoid
1589182,IL7R,FBXO32,1.0440705,Lymphoid,vSMCs
2679803,MFAP2,RAB3IP,1.0437797,Neuronal,Fibroblast
11145412,ADAM9,PSMA7,1.0430526,Mast,Pericyte
8403888,ICOSLG,SERPINA1,1.0430297,Pericyte,Mast
2679106,MFAP2,FBXO32,1.0429568,Neuronal,vSMCs
1588451,IL7R,PPP2R2C,1.0418675,Lymphoid,Cardiomyocyte
11145891,ADAM9,DAAM1,1.0418199,Mast,Neuronal
2678375,MFAP2,PPP2R2C,1.0407158,Neuronal,Cardiomyocyte
1588068,IL7R,SERPINA1,1.0402657,Lymphoid,Mast
3623302,COL5A3,FBXO32,1.0398915,Fibroblast,vSMCs
11145291,ADAM9,AKAP5,1.0398214,Mast,Endothelial
2677992,MFAP2,SERPINA1,1.0391783,Neuronal,Mast
11146298,ADAM9,LILRB1,1.0382726,Mast,Myeloid
3622571,COL5A3,PPP2R2C,1.0377539,Fibroblast,Cardiomyocyte
8404383,ICOSLG,DAAM1,1.0377287,Pericyte,Neuronal
11145913,ADAM9,TAOK3,1.0364738,Mast,Lymphoid
1588084,IL7R,PSMA7,1.0363346,Lymphoid,Pericyte
3622188,COL5A3,SERPINA1,1.0360705,Fibroblast,Mast
8403783,ICOSLG,AKAP5,1.0357487,Pericyte,Endothelial
2678008,MFAP2,PSMA7,1.035295,Neuronal,Pericyte
1588563,IL7R,DAAM1,1.0351027,Lymphoid,Neuronal
8404790,ICOSLG,LILRB1,1.0341985,Pericyte,Myeloid
1587963,IL7R,AKAP5,1.0329554,Lymphoid,Endothelial
8404405,ICOSLG,TAOK3,1.0324073,Pericyte,Lymphoid
3622204,COL5A3,PSMA7,1.0320938,Fibroblast,Pericyte
2677887,MFAP2,AKAP5,1.0318596,Neuronal,Endothelial
1588970,IL7R,LILRB1,1.0315288,Lymphoid,Myeloid
3622683,COL5A3,DAAM1,1.0308706,Fibroblast,Neuronal
2678894,MFAP2,LILRB1,1.0304741,Neuronal,Myeloid
3622083,COL5A3,AKAP5,1.0288123,Fibroblast,Endothelial
2678509,MFAP2,TAOK3,1.0286771,Neuronal,Lymphoid
3623090,COL5A3,LILRB1,1.0273359,Fibroblast,Myeloid
3622705,COL5A3,TAOK3,1.0255517,Fibroblast,Lymphoid
