,Src,Dst,Prob,Src Cell,Dst Cell
3826916,CAMK2A,SCNN1B,1.2198035,Cardiomyocyte,Endothelial
2144972,CYTL1,SCNN1B,1.2168876,Fibroblast,Endothelial
6280004,ARHGEF9,SCNN1B,1.2146211,vSMCs,Endothelial
4540376,BTK,SCNN1B,1.2132188,Myeloid,Endothelial
3562784,CD58,SCNN1B,1.2092674,Neuronal,Endothelial
3827014,CAMK2A,BORA,1.2053994,Cardiomyocyte,vSMCs
22808,ZBP1,SCNN1B,1.2045262,Mast,Endothelial
4986668,MERTK,SCNN1B,1.2044768,Pericyte,Endothelial
2145070,CYTL1,BORA,1.2026767,Fibroblast,vSMCs
3827156,CAMK2A,TLR3,1.2016158,Cardiomyocyte,Fibroblast
3826826,CAMK2A,NEO1,1.1990187,Cardiomyocyte,Mast
4540474,BTK,BORA,1.1988966,Myeloid,vSMCs
8675408,NOL3,SCNN1B,1.1979513,Lymphoid,Endothelial
3826428,CAMK2A,KPNB1,1.1974604,Cardiomyocyte,Pericyte
3828131,CAMK2A,SIGLEC9,1.1966971,Cardiomyocyte,Myeloid
6280244,ARHGEF9,TLR3,1.1965977,vSMCs,Fibroblast
2144882,CYTL1,NEO1,1.1963484,Fibroblast,Mast
3562882,CD58,BORA,1.1953095,Neuronal,vSMCs
4540616,BTK,TLR3,1.195132,Myeloid,Fibroblast
2144484,CYTL1,KPNB1,1.1947786,Fibroblast,Pericyte
3826858,CAMK2A,NOTCH2,1.1942534,Cardiomyocyte,Neuronal
6279914,ARHGEF9,NEO1,1.1940908,vSMCs,Mast
2146187,CYTL1,SIGLEC9,1.1940441,Fibroblast,Myeloid
4540286,BTK,NEO1,1.1925514,Myeloid,Mast
6279516,ARHGEF9,KPNB1,1.1925261,vSMCs,Pericyte
6281219,ARHGEF9,SIGLEC9,1.1917889,vSMCs,Myeloid
2144914,CYTL1,NOTCH2,1.191623,Fibroblast,Neuronal
3563024,CD58,TLR3,1.1914449,Neuronal,Fibroblast
4539888,BTK,KPNB1,1.191001,Myeloid,Pericyte
10749094,CDK3,BORA,1.1908139,Endothelial,vSMCs
22906,ZBP1,BORA,1.1907768,Mast,vSMCs
4986766,MERTK,BORA,1.1907017,Pericyte,vSMCs
6279946,ARHGEF9,NOTCH2,1.1893698,vSMCs,Neuronal
3562694,CD58,NEO1,1.1890596,Neuronal,Mast
4540318,BTK,NOTCH2,1.1878124,Myeloid,Neuronal
3562296,CD58,KPNB1,1.1874838,Neuronal,Pericyte
10749236,CDK3,TLR3,1.1869094,Endothelial,Fibroblast
23048,ZBP1,TLR3,1.1868728,Mast,Fibroblast
4986908,MERTK,TLR3,1.1868073,Pericyte,Fibroblast
3563999,CD58,SIGLEC9,1.1867816,Neuronal,Myeloid
2146391,CYTL1,PA2G4,1.1864145,Fibroblast,Cardiomyocyte
10748906,CDK3,NEO1,1.1846247,Endothelial,Mast
4986578,MERTK,NEO1,1.1845064,Pericyte,Mast
8675506,NOL3,BORA,1.184254,Lymphoid,vSMCs
6281423,ARHGEF9,PA2G4,1.1841639,vSMCs,Cardiomyocyte
10748508,CDK3,KPNB1,1.18304,Endothelial,Pericyte
22320,ZBP1,KPNB1,1.183003,Mast,Pericyte
4541795,BTK,PA2G4,1.1825734,Myeloid,Cardiomyocyte
10750211,CDK3,SIGLEC9,1.182367,Endothelial,Myeloid
24023,ZBP1,SIGLEC9,1.1823298,Mast,Myeloid
4987883,MERTK,SIGLEC9,1.1822469,Pericyte,Myeloid
8675648,NOL3,TLR3,1.1803795,Lymphoid,Fibroblast
10748938,CDK3,NOTCH2,1.1800041,Endothelial,Neuronal
22750,ZBP1,NOTCH2,1.1799669,Mast,Neuronal
4986610,MERTK,NOTCH2,1.1798813,Pericyte,Neuronal
3564203,CD58,PA2G4,1.1792667,Neuronal,Cardiomyocyte
8675318,NOL3,NEO1,1.1780932,Lymphoid,Mast
8674920,NOL3,KPNB1,1.1765195,Lymphoid,Pericyte
8676623,NOL3,SIGLEC9,1.1758462,Lymphoid,Myeloid
3828062,CAMK2A,BAD,1.175224,Cardiomyocyte,Lymphoid
10750415,CDK3,PA2G4,1.1749442,Endothelial,Cardiomyocyte
24227,ZBP1,PA2G4,1.1749067,Mast,Cardiomyocyte
4988087,MERTK,PA2G4,1.1748135,Pericyte,Cardiomyocyte
8675350,NOL3,NOTCH2,1.1734936,Lymphoid,Neuronal
2146118,CYTL1,BAD,1.1727735,Fibroblast,Lymphoid
6281150,ARHGEF9,BAD,1.1705353,vSMCs,Lymphoid
4541522,BTK,BAD,1.1688892,Myeloid,Lymphoid
8676827,NOL3,PA2G4,1.1684543,Lymphoid,Cardiomyocyte
3563930,CD58,BAD,1.165801,Neuronal,Lymphoid
10750142,CDK3,BAD,1.1616158,Endothelial,Lymphoid
23954,ZBP1,BAD,1.1615783,Mast,Lymphoid
4987814,MERTK,BAD,1.1614711,Pericyte,Lymphoid
