,Src,Dst,Prob,Src Cell,Dst Cell
1440904,RB1CC1,PTTG1,1.3985336,Fibroblast,Mast
1441139,RB1CC1,BRMS1,1.393335,Fibroblast,Pericyte
1669664,NLRX1,FAS,1.3899426,Neuronal,Fibroblast
1441296,RB1CC1,ALCAM,1.3898687,Fibroblast,Neuronal
1439780,RB1CC1,RIMS3,1.3886254,Fibroblast,vSMCs
10235717,INPPL1,PRMT5,1.3857479,Lymphoid,Fibroblast
1000205,UBIAD1,PRMT5,1.3852572,Pericyte,Fibroblast
1441864,RB1CC1,SELP,1.3847566,Fibroblast,Endothelial
1440481,RB1CC1,PRPF19,1.3842674,Fibroblast,Lymphoid
1668604,NLRX1,PTTG1,1.377481,Neuronal,Mast
2758049,PLCB1,PRMT5,1.3771127,Mast,Fibroblast
3249881,KCNAB1,PRMT5,1.3751429,vSMCs,Fibroblast
10236196,INPPL1,PTTG1,1.3732654,Lymphoid,Mast
1668839,NLRX1,BRMS1,1.3723848,Neuronal,Pericyte
1000684,UBIAD1,PTTG1,1.3722832,Pericyte,Mast
10236431,INPPL1,BRMS1,1.3681803,Lymphoid,Pericyte
1667480,NLRX1,RIMS3,1.36653,Neuronal,vSMCs
8781473,CEP76,PRMT5,1.3646752,Endothelial,Fibroblast
10236588,INPPL1,ALCAM,1.3646679,Lymphoid,Neuronal
1668181,NLRX1,PRPF19,1.3640611,Neuronal,Lymphoid
1001076,UBIAD1,ALCAM,1.3637266,Pericyte,Neuronal
1669564,NLRX1,SELP,1.3634354,Neuronal,Endothelial
10235072,INPPL1,RIMS3,1.3625667,Lymphoid,vSMCs
3250360,KCNAB1,PTTG1,1.3624611,vSMCs,Mast
999560,UBIAD1,RIMS3,1.3619692,Pericyte,vSMCs
2758763,PLCB1,BRMS1,1.3593882,Mast,Pericyte
10237156,INPPL1,SELP,1.3593502,Lymphoid,Endothelial
1000261,UBIAD1,PRPF19,1.3585984,Pericyte,Lymphoid
1001644,UBIAD1,SELP,1.3585285,Pericyte,Endothelial
3250595,KCNAB1,BRMS1,1.3574114,vSMCs,Pericyte
2758920,PLCB1,ALCAM,1.3559209,Mast,Neuronal
2757404,PLCB1,RIMS3,1.354015,Mast,vSMCs
3250752,KCNAB1,ALCAM,1.3539518,vSMCs,Neuronal
4340284,TPO,PTTG1,1.3511903,Endothelial,Mast
2758105,PLCB1,PRPF19,1.3509306,Mast,Lymphoid
2759488,PLCB1,SELP,1.3506988,Mast,Endothelial
3249937,KCNAB1,PRPF19,1.3489537,vSMCs,Lymphoid
3251320,KCNAB1,SELP,1.3487449,vSMCs,Endothelial
4340519,TPO,BRMS1,1.3461715,Endothelial,Pericyte
4340676,TPO,ALCAM,1.3428012,Endothelial,Neuronal
8780828,CEP76,RIMS3,1.3415513,Endothelial,vSMCs
4339861,TPO,PRPF19,1.3375078,Endothelial,Lymphoid
