,Src,Dst,Prob,Src Cell,Dst Cell
5667697,HTR2B,CD96,1.2079327,vSMCs,Fibroblast
9177313,ARPC2,CD96,1.2078688,Cardiomyocyte,Fibroblast
5666212,HTR2B,ADORA1,1.2061735,vSMCs,Cardiomyocyte
5667331,HTR2B,CNTFR,1.1980839,vSMCs,Myeloid
9176947,ARPC2,CNTFR,1.192797,Cardiomyocyte,Myeloid
8128408,VEGFD,ADORA1,1.1897337,Fibroblast,Cardiomyocyte
10739368,PRKCSH,ADORA1,1.184872,Mast,Cardiomyocyte
5224441,DCHS1,CD96,1.1845567,Endothelial,Fibroblast
10740853,PRKCSH,CD96,1.1840118,Mast,Fibroblast
6180781,SLAMF6,CD96,1.1823217,Myeloid,Fibroblast
8129527,VEGFD,CNTFR,1.181765,Fibroblast,Myeloid
685621,RAP1B,CD96,1.1792738,Pericyte,Fibroblast
9175873,ARPC2,CARD9,1.1789007,Cardiomyocyte,vSMCs
7604665,ZEB2,CD96,1.178637,Neuronal,Fibroblast
495904,TGIF1,ADORA1,1.1772875,Myeloid,Cardiomyocyte
10740487,PRKCSH,CNTFR,1.1769391,Mast,Myeloid
684136,RAP1B,ADORA1,1.1760753,Pericyte,Cardiomyocyte
5924272,FAM107A,ADORA1,1.1751078,Neuronal,Cardiomyocyte
6481345,NPPB,CD96,1.1713108,Lymphoid,Fibroblast
5222956,DCHS1,ADORA1,1.1712966,Endothelial,Cardiomyocyte
685255,RAP1B,CNTFR,1.1681796,Pericyte,Myeloid
5925391,FAM107A,CNTFR,1.1672398,Neuronal,Myeloid
8128453,VEGFD,CARD9,1.1657854,Fibroblast,vSMCs
5666059,HTR2B,TRIM2,1.165377,vSMCs,Pericyte
5665408,HTR2B,SLN,1.1643698,vSMCs,Endothelial
6479860,NPPB,ADORA1,1.16355,Lymphoid,Cardiomyocyte
5224075,DCHS1,CNTFR,1.1633788,Endothelial,Myeloid
5667685,HTR2B,CHKA,1.1626196,vSMCs,Mast
9177301,ARPC2,CHKA,1.161365,Cardiomyocyte,Mast
10739413,PRKCSH,CARD9,1.1608412,Mast,vSMCs
9175675,ARPC2,TRIM2,1.1606945,Cardiomyocyte,Pericyte
9175024,ARPC2,SLN,1.1605214,Cardiomyocyte,Endothelial
6480979,NPPB,CNTFR,1.1557136,Lymphoid,Myeloid
495949,TGIF1,CARD9,1.154374,Myeloid,vSMCs
684181,RAP1B,CARD9,1.1534482,Pericyte,vSMCs
5223001,DCHS1,CARD9,1.1518074,Endothelial,vSMCs
5924317,FAM107A,CARD9,1.1513066,Neuronal,vSMCs
8128255,VEGFD,TRIM2,1.1493281,Fibroblast,Pericyte
5668157,HTR2B,UBE2S,1.1482027,vSMCs,Neuronal
8127604,VEGFD,SLN,1.1480179,Fibroblast,Endothelial
8129881,VEGFD,CHKA,1.1453042,Fibroblast,Mast
10739215,PRKCSH,TRIM2,1.1445824,Mast,Pericyte
9175300,ARPC2,CTHRC1,1.1445547,Cardiomyocyte,Neuronal
5667966,HTR2B,SF1,1.1438076,vSMCs,Lymphoid
10738564,PRKCSH,SLN,1.1431829,Mast,Endothelial
6479905,NPPB,CARD9,1.1425534,Lymphoid,vSMCs
9177582,ARPC2,SF1,1.1407422,Cardiomyocyte,Lymphoid
495751,TGIF1,TRIM2,1.1375188,Myeloid,Pericyte
5224429,DCHS1,CHKA,1.1374894,Endothelial,Mast
495100,TGIF1,SLN,1.136633,Myeloid,Endothelial
6180769,SLAMF6,CHKA,1.1358674,Myeloid,Mast
683332,RAP1B,SLN,1.1356723,Pericyte,Endothelial
5924119,FAM107A,TRIM2,1.1351588,Neuronal,Pericyte
685609,RAP1B,CHKA,1.1346982,Pericyte,Mast
5923468,FAM107A,SLN,1.1337874,Neuronal,Endothelial
7604653,ZEB2,CHKA,1.1335349,Neuronal,Mast
5222803,DCHS1,TRIM2,1.1326338,Endothelial,Pericyte
8130353,VEGFD,UBE2S,1.1321172,Fibroblast,Neuronal
8130162,VEGFD,SF1,1.1274714,Fibroblast,Lymphoid
10741313,PRKCSH,UBE2S,1.1273609,Mast,Neuronal
6481333,NPPB,CHKA,1.1259904,Lymphoid,Mast
6479707,NPPB,TRIM2,1.1246959,Lymphoid,Pericyte
6479056,NPPB,SLN,1.1246848,Lymphoid,Endothelial
10741122,PRKCSH,SF1,1.1226414,Mast,Lymphoid
497849,TGIF1,UBE2S,1.1208389,Myeloid,Neuronal
5222428,DCHS1,CTHRC1,1.1198843,Endothelial,Neuronal
686081,RAP1B,UBE2S,1.1198744,Pericyte,Neuronal
497658,TGIF1,SF1,1.1166446,Myeloid,Lymphoid
685890,RAP1B,SF1,1.1158193,Pericyte,Lymphoid
5224710,DCHS1,SF1,1.1150457,Endothelial,Lymphoid
7604934,ZEB2,SF1,1.1138307,Neuronal,Lymphoid
6479332,NPPB,CTHRC1,1.1095171,Lymphoid,Neuronal
