,Src,Dst,Prob,Src Cell,Dst Cell
4556215,KATNAL2,DLL4,1.1335773,Cardiomyocyte,vSMCs
4556244,KATNAL2,CTLA4,1.1175352,Cardiomyocyte,Endothelial
4555682,KATNAL2,HOXB7,1.1141822,Cardiomyocyte,Myeloid
9626784,H3-3A,CLOCK,1.1115664,Neuronal,Cardiomyocyte
9626335,H3-3A,DLL4,1.1113499,Neuronal,vSMCs
886140,CLEC2D,CLOCK,1.1085649,Endothelial,Cardiomyocyte
885691,CLEC2D,DLL4,1.108363,Endothelial,vSMCs
7553196,KDM3B,CLOCK,1.107769,vSMCs,Cardiomyocyte
4556283,KATNAL2,E2F4,1.1046234,Cardiomyocyte,Mast
7783932,ADCY1,CLOCK,1.1017293,Myeloid,Cardiomyocyte
7783483,ADCY1,DLL4,1.1015761,Myeloid,vSMCs
5145648,PTGER3,CLOCK,1.0986983,Fibroblast,Cardiomyocyte
5145199,PTGER3,DLL4,1.0986371,Fibroblast,vSMCs
9626364,H3-3A,CTLA4,1.0966703,Neuronal,Endothelial
10847256,NCAM2,CLOCK,1.096253,Lymphoid,Cardiomyocyte
10846807,NCAM2,DLL4,1.0960373,Lymphoid,vSMCs
4555882,KATNAL2,HSPB2,1.0929532,Cardiomyocyte,Lymphoid
7552776,KDM3B,CTLA4,1.0925097,vSMCs,Endothelial
4554010,KATNAL2,STX1A,1.091805,Cardiomyocyte,Fibroblast
9625802,H3-3A,HOXB7,1.0917674,Neuronal,Myeloid
4555773,KATNAL2,DTNBP1,1.0915437,Cardiomyocyte,Pericyte
9128880,CXCR1,CLOCK,1.0912188,Pericyte,Cardiomyocyte
9128431,CXCR1,DLL4,1.091036,Pericyte,vSMCs
885158,CLEC2D,HOXB7,1.0888046,Endothelial,Myeloid
7552214,KDM3B,HOXB7,1.0881293,vSMCs,Myeloid
7783512,ADCY1,CTLA4,1.0872555,Myeloid,Endothelial
4556152,KATNAL2,ZFYVE9,1.0864031,Cardiomyocyte,Neuronal
3882672,CD55,CLOCK,1.08562,Mast,Cardiomyocyte
3882223,CD55,DLL4,1.085449,Mast,vSMCs
5145228,PTGER3,CTLA4,1.0846974,Fibroblast,Endothelial
9626403,H3-3A,E2F4,1.0836601,Neuronal,Mast
10846836,NCAM2,CTLA4,1.0815514,Lymphoid,Endothelial
885759,CLEC2D,E2F4,1.0807828,Endothelial,Mast
7552815,KDM3B,E2F4,1.079655,vSMCs,Mast
5144666,PTGER3,HOXB7,1.0789686,Fibroblast,Myeloid
9128460,CXCR1,CTLA4,1.0767359,Pericyte,Endothelial
10846274,NCAM2,HOXB7,1.0767292,Lymphoid,Myeloid
7783551,ADCY1,E2F4,1.0742826,Myeloid,Mast
9624130,H3-3A,STX1A,1.0729047,Neuronal,Fibroblast
9127898,CXCR1,HOXB7,1.0717511,Pericyte,Myeloid
9626002,H3-3A,HSPB2,1.0716649,Neuronal,Lymphoid
5145267,PTGER3,E2F4,1.0716442,Fibroblast,Mast
3882252,CD55,CTLA4,1.071262,Mast,Endothelial
9625893,H3-3A,DTNBP1,1.0711771,Neuronal,Pericyte
883486,CLEC2D,STX1A,1.0701475,Endothelial,Fibroblast
885358,CLEC2D,HSPB2,1.0687919,Endothelial,Lymphoid
10846875,NCAM2,E2F4,1.0687234,Lymphoid,Mast
7550542,KDM3B,STX1A,1.0683707,vSMCs,Fibroblast
885249,CLEC2D,DTNBP1,1.0683504,Endothelial,Pericyte
7552414,KDM3B,HSPB2,1.0678749,vSMCs,Lymphoid
7552305,KDM3B,DTNBP1,1.0671092,vSMCs,Pericyte
3881690,CD55,HOXB7,1.0662411,Mast,Myeloid
7781278,ADCY1,STX1A,1.0640193,Myeloid,Fibroblast
9128499,CXCR1,E2F4,1.0639263,Pericyte,Mast
885628,CLEC2D,ZFYVE9,1.0628291,Endothelial,Neuronal
7783150,ADCY1,HSPB2,1.0622714,Myeloid,Lymphoid
7783041,ADCY1,DTNBP1,1.0619841,Myeloid,Pericyte
7552684,KDM3B,ZFYVE9,1.061764,vSMCs,Neuronal
5143576,PTGER3,IRS1,1.0597379,Fibroblast,Pericyte
5144866,PTGER3,HSPB2,1.0594838,Fibroblast,Lymphoid
10844602,NCAM2,STX1A,1.0581015,Lymphoid,Fibroblast
7783420,ADCY1,ZFYVE9,1.0564165,Myeloid,Neuronal
10846365,NCAM2,DTNBP1,1.0564096,Lymphoid,Pericyte
5145136,PTGER3,ZFYVE9,1.0537825,Fibroblast,Neuronal
9126226,CXCR1,STX1A,1.0535598,Pericyte,Fibroblast
9128098,CXCR1,HSPB2,1.0520915,Pericyte,Lymphoid
10846744,NCAM2,ZFYVE9,1.050977,Lymphoid,Neuronal
3880018,CD55,STX1A,1.0482603,Mast,Fibroblast
3881890,CD55,HSPB2,1.0467092,Mast,Lymphoid
3881781,CD55,DTNBP1,1.0463614,Mast,Pericyte
9128368,CXCR1,ZFYVE9,1.0462458,Pericyte,Neuronal
3882160,CD55,ZFYVE9,1.0409096,Mast,Neuronal
