,Id,category,identifier
1,1,Ligand,CALM3
2,2,Ligand,CALM2
3,3,Ligand,CALM1
4,4,Ligand,CAV1
5,5,Ligand,DRD2
6,6,Ligand,MDFI
7,7,Ligand,ITPR2
8,8,Ligand,MARCKS
9,9,Ligand,GRM1
10,10,Ligand,STIM1
11,11,Ligand,TRPC1
12,12,Ligand,TRPC3
13,13,Ligand,TRPC4
14,14,Ligand,TRPC5
15,15,Ligand,PKD2
16,16,Ligand,TRPV4
17,17,Ligand,CASR
18,18,Ligand,HOMER1
19,19,Ligand,ITPR1
20,20,Ligand,ITPR3
21,21,Ligand,ASPH
22,22,Ligand,ORAI1
23,23,Ligand,PRKG1
24,24,Ligand,RNF24
25,25,Ligand,SRC
26,26,Ligand,TRPM4
27,27,Ligand,WNK4
28,28,Ligand,NHERF1
29,29,Ligand,CABP1
30,30,Ligand,NCS1
31,31,Ligand,SESTD1
32,32,Ligand,CNR1
33,33,Ligand,CDK5
34,34,Ligand,FAF1
35,35,Ligand,GABARAP
36,36,Ligand,KIF13B
37,37,Ligand,PIRT
38,38,Ligand,PRKACA
39,39,Ligand,NTRK1
40,40,Ligand,HCK
41,41,Ligand,LCK
42,42,Ligand,LYN
43,43,Ligand,MAP7
44,44,Ligand,OS9
45,45,Ligand,PACSIN3
46,46,Ligand,YES1
47,47,Ligand,BSPRY
48,48,Ligand,CALB1
49,49,Ligand,RAB11A
50,50,Ligand,TGM2
51,51,Ligand,MCOLN3
52,52,Ligand,TRPV5
53,53,Ligand,TRPV6
54,54,Ligand,NHERF4
55,55,Ligand,NIPSNAP1
56,56,Ligand,NUMB
57,57,Ligand,PTPN1
58,58,Ligand,RGS2
59,59,Ligand,RACK1
60,60,Ligand,PHB2
61,61,Ligand,TRPM7
62,62,Ligand,TRPM6
63,63,Ligand,MCOLN2
64,64,Ligand,MCOLN1
65,65,Ligand,PRKCSH
66,66,Ligand,KIF3A
67,67,Ligand,STX5
68,68,Ligand,CASP3
69,69,Ligand,RNF8
70,70,Ligand,MAPKAPK2
